id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34220,Room available,147438,Mark,,Capital,45.40924,-75.679,Private room,203,7,0,,,1,365
36642,City Conveniences A Country Setting,157787,Donna,,Kitchissippi,45.40159,-75.74679,Private room,65,2,85,2019-09-14,0.76,1,364
59258,Lower level of my house to rent,284351,Elena,,Bay,45.359,-75.80314,Entire home/apt,200,3,1,2011-07-04,0.01,1,0
158824,DOWNTOWN/GLEBE HOUSE WITH BACKYARD,87296,Luc,,Capital,45.40248,-75.69941,Entire home/apt,140,3,7,2015-08-30,0.07,1,59
261065,Westboro Village Executive Suite,1369632,Glenn,,Kitchissippi,45.38972,-75.75496,Entire home/apt,150,2,56,2019-08-25,0.59,1,282
284916,Great room for great guests!,1483261,Daniel,,Somerset,45.40686,-75.70237,Private room,56,1,242,2019-09-15,2.59,1,341
336692,Quiet Room with a view in the Ottawa Downtown,1712975,Elena,,Somerset,45.41557,-75.70551,Private room,65,1,9,2019-08-31,0.33,1,259
365499,Centrally - located Private Room - for females,1356353,Anna,,Capital,45.40642,-75.6918,Private room,60,1,118,2019-09-17,1.34,1,279
490182,Basement Studio - Old Ottawa East,2401179,Ela,,Capital,45.40453,-75.67695,Private room,34,7,3,2019-08-01,0.17,1,11
674799,"Half-basement apt. guest private entrance, 3-bdrm",2058676,William,,Gloucester-South Nepean,45.26725,-75.72269,Entire home/apt,60,2,38,2019-09-22,0.50,1,361
678641,Lovely private bed/bath -Centretown (private home),3453855,Kate & Dan,,Somerset,45.4082,-75.69908,Private room,65,2,124,2019-06-24,1.44,1,207
682632,"Adorable 2 bdrm, Central Ottawa PD1",3201295,Greg And Valerie,,Kitchissippi,45.40269,-75.73023,Entire home/apt,68,30,6,2019-08-06,0.13,9,91
682634,Highly desirable Ottawa address!,3201295,Greg And Valerie,,Kitchissippi,45.40097,-75.73203,Entire home/apt,91,30,2,2016-03-10,0.04,9,252
685334,Family Home in Ottawa's Hintonburg,3495367,Ben,,Kitchissippi,45.39946,-75.72498,Entire home/apt,225,3,4,2017-07-03,0.05,1,0
743359,Bright Cozy Home,3894080,Maxine,,Gloucester-Southgate,45.34817,-75.62962,Private room,79,7,28,2019-09-20,2.24,2,306
764035,1Bedroom + Den Luxury Condo DOWNTOWN Parliament,4027790,Paul,,Rideau-Vanier,45.42911,-75.68606,Entire home/apt,65,180,38,2016-06-29,0.48,3,287
793593,"Charming Home in Byward Market, Downtown Ottawa",4180945,Lynda,,Rideau-Vanier,45.43218,-75.69176,Entire home/apt,170,2,141,2019-09-19,1.74,1,344
875133,"Progressive, Eco-friendly, Central",4606697,Angela,,Capital,45.40488,-75.69325,Private room,75,2,116,2019-09-11,1.42,3,305
876700,Beautiful and Calm in the Glebe w free parking,1768444,Poppy,,Capital,45.40271,-75.69067,Entire home/apt,87,4,116,2019-07-05,1.44,1,81
906839,"Cozy, spacious guest room + lounge",4855102,Carol,,River,45.3707,-75.73897,Private room,75,1,51,2017-12-15,0.63,1,0
943979,Smart flat near Center&Glebe+Garage,5108859,Maria And Jim,,Somerset,45.41226,-75.69649,Entire home/apt,94,2,284,2019-09-22,3.62,3,5
