number,name,population,area
1,Orléans,47670,25.5
2,Innes,38310,31.1
3,Barrhaven,46475,26.1
4,Kanata North,34470,24.2
5,West Carleton-March,23055,763
6,Stittsville,26455,16.3
7,Bay,43935,64.2
8,College,50795,46.2
9,Knoxdale-Merivale,38380,47.5
10,Gloucester-Southgate,47860,67.2
11,Beacon Hill-Cyrville,33155,41.2
12,Rideau-Vanier,31105,7.9
13,Rideau-Rockcliffe,37075,19.8
14,Somerset,35110,6.5
15,Kitchissippi,37920,15.1
16,River,45795,23.3
17,Capital,34490,9.9
18,Alta Vista,44050,20.3
19,Cumberland,43375,383
20,Osgoode,24445,459
21,Rideau-Goulbourn,24530,744
22,Gloucester-South Nepean,41620,37.6
23,Kanata South,43315,16.5
